time_series,imu_COG_acc_x,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,stwa,veh_u
0,0,70.791,70.791,71.0534,71.0534,0,0,0,0,0,0,0,0,0,23
0.002,0,70.791,70.791,71.0534,71.0534,0,0,0,0,0,0,0,0,0,23
0.004,0,70.791,70.791,71.0534,71.0534,0,0,0,0,0,0,0,0,0,23
0.006,0,70.791,70.791,71.0534,71.0534,0,0,0,0,0,0,0,0,0,22.9999
0.008,0,70.791,70.791,71.0534,71.0534,0,0,0,0,0,0,0,0,0,22.9998
0.01,0,70.7084,70.7084,70.9391,70.9391,0,0,0,0,0,0,0,0,0,22.9995
0.012,0,70.7084,70.7084,70.9391,70.9391,0,0,0,0,0,0,0,0,0,22.9993
0.014,0,70.7084,70.7084,70.9391,70.9391,0,0,0,0,0,0,0,0,0,22.999
0.016,0,70.7084,70.7084,70.9391,70.9391,0,0,0,0,0,0,0,0,0,22.9986
0.018,0,70.7084,70.7084,70.9391,70.9391,0,0,0,0,0,0,0,0,0,22.9983
0.02,0,70.7504,70.7504,71.0188,71.0188,0,0,0,0,0,0,0,0,0,22.998
0.022,0,70.7504,70.7504,71.0188,71.0188,0,0,0,0,0,0,0,0,0,22.9976
0.024,0,70.7504,70.7504,71.0188,71.0188,0,0,0,0,0,0,0,0,0,22.9974
0.026,0,70.7504,70.7504,71.0188,71.0188,0,0,0,0,0,0,0,0,0,22.9971
0.028,0,70.7504,70.7504,71.0188,71.0188,0,0,0,0,0,0,0,0,0,22.9969
0.03,0,70.7598,70.7598,71.0339,71.0339,0,0,0,0,0,0,0,0,0,22.9967
0.032,0,70.7598,70.7598,71.0339,71.0339,0,0,0,0,0,0,0,0,0,22.9965
0.034,0,70.7598,70.7598,71.0339,71.0339,0,0,0,0,0,0,0,0,0,22.9964
0.036,0,70.7598,70.7598,71.0339,71.0339,0,0,0,0,0,0,0,0,0,22.9962
0.038,0,70.7598,70.7598,71.0339,71.0339,0,0,0,0,0,0,0,0,0,22.996
0.04,0,70.733,70.733,70.9788,70.9788,0,0,0,0,0,0,0,0,0,22.9958
0.042,0,70.733,70.733,70.9788,70.9788,0,0,0,0,0,0,0,0,0,22.9956
0.044,0,70.733,70.733,70.9788,70.9788,0,0,0,0,0,0,0,0,0,22.9954
0.046,0,70.733,70.733,70.9788,70.9788,0,0,0,0,0,0,0,0,0,22.9952
0.048,0,70.733,70.733,70.9788,70.9788,0,0,0,0,0,0,0,0,0,22.9949
0.05,0,70.7338,70.7338,70.9895,70.9895,0,0,0,0,0,0,0,0,0,22.9946
0.052,0,70.7338,70.7338,70.9895,70.9895,0,0,0,0,0,0,0,0,0,22.9944
0.054,0,70.7338,70.7338,70.9895,70.9895,0,0,0,0,0,0,0,0,0,22.9941
0.056,0,70.7338,70.7338,70.9895,70.9895,0,0,0,0,0,0,0,0,0,22.9939
0.058,0,70.7338,70.7338,70.9895,70.9895,0,0,0,0,0,0,0,0,0,22.9936
0.06,0,70.7381,70.7381,71.0063,71.0063,0,0,0,0,0,0,0,0,0,22.9934
0.062,0,70.7381,70.7381,71.0063,71.0063,0,0,0,0,0,0,0,0,0,22.9932
0.064,0,70.7381,70.7381,71.0063,71.0063,0,0,0,0,0,0,0,0,0,22.993
0.066,0,70.7381,70.7381,71.0063,71.0063,0,0,0,0,0,0,0,0,0,22.9928
0.068,0,70.7381,70.7381,71.0063,71.0063,0,0,0,0,0,0,0,0,0,22.9926
0.07,0,70.7296,70.7296,70.986,70.986,0,0,0,0,0,0,0,0,0,22.9924
0.072,0,70.7296,70.7296,70.986,70.986,0,0,0,0,0,0,0,0,0,22.9921
0.074,0,70.7296,70.7296,70.986,70.986,0,0,0,0,0,0,0,0,0,22.9919
0.076,0,70.7296,70.7296,70.986,70.986,0,0,0,0,0,0,0,0,0,22.9917
0.078,0,70.7296,70.7296,70.986,70.986,0,0,0,0,0,0,0,0,0,22.9915
0.08,0,70.725,70.725,70.9797,70.9797,0,0,0,0,0,0,0,0,0,22.9912
0.082,0,70.725,70.725,70.9797,70.9797,0,0,0,0,0,0,0,0,0,22.991
0.084,0,70.725,70.725,70.9797,70.9797,0,0,0,0,0,0,0,0,0,22.9908
0.086,0,70.725,70.725,70.9797,70.9797,0,0,0,0,0,0,0,0,0,22.9905
0.088,0,70.725,70.725,70.9797,70.9797,0,0,0,0,0,0,0,0,0,22.9903
0.09,0,70.7241,70.7241,70.9862,70.9862,0,0,0,0,0,0,0,0,0,22.9901
0.092,0,70.7241,70.7241,70.9862,70.9862,0,0,0,0,0,0,0,0,0,22.9898
0.094,0,70.7241,70.7241,70.9862,70.9862,0,0,0,0,0,0,0,0,0,22.9896
0.096,0,70.7241,70.7241,70.9862,70.9862,0,0,0,0,0,0,0,0,0,22.9894
0.098,0,70.7241,70.7241,70.9862,70.9862,0,0,0,0,0,0,0,0,0,22.9892
0.1,0,70.72,70.72,70.9796,70.9796,0,0,0,0,0,0,0,0,0,22.9889
0.102,0,70.72,70.72,70.9796,70.9796,0,0,0,0,0,0,0,0,0,22.9887
0.104,0,70.72,70.72,70.9796,70.9796,0,0,0,0,0,0,0,0,0,22.9885
0.106,0,70.72,70.72,70.9796,70.9796,0,0,0,0,0,0,0,0,0,22.9883
0.108,0,70.72,70.72,70.9796,70.9796,0,0,0,0,0,0,0,0,0,22.9881
0.11,0,70.7156,70.7156,70.9723,70.9723,0,0,0,0,0,0,0,0,0,22.9878
0.112,0,70.7156,70.7156,70.9723,70.9723,0,0,0,0,0,0,0,0,0,22.9876
0.114,0,70.7156,70.7156,70.9723,70.9723,0,0,0,0,0,0,0,0,0,22.9874
0.116,0,70.7156,70.7156,70.9723,70.9723,0,0,0,0,0,0,0,0,0,22.9871
0.118,0,70.7156,70.7156,70.9723,70.9723,0,0,0,0,0,0,0,0,0,22.9869
0.12,0,70.7128,70.7128,70.9722,70.9722,0,0,0,0,0,0,0,0,0,22.9867
0.122,0,70.7128,70.7128,70.9722,70.9722,0,0,0,0,0,0,0,0,0,22.9865
0.124,0,70.7128,70.7128,70.9722,70.9722,0,0,0,0,0,0,0,0,0,22.9862
0.126,0,70.7128,70.7128,70.9722,70.9722,0,0,0,0,0,0,0,0,0,22.986
0.128,0,70.7128,70.7128,70.9722,70.9722,0,0,0,0,0,0,0,0,0,22.9858
0.13,0,70.7094,70.7094,70.9691,70.9691,0,0,0,0,0,0,0,0,0,22.9855
0.132,0,70.7094,70.7094,70.9691,70.9691,0,0,0,0,0,0,0,0,0,22.9853
0.134,0,70.7094,70.7094,70.9691,70.9691,0,0,0,0,0,0,0,0,0,22.9851
0.136,0,70.7094,70.7094,70.9691,70.9691,0,0,0,0,0,0,0,0,0,22.9849
0.138,0,70.7094,70.7094,70.9691,70.9691,0,0,0,0,0,0,0,0,0,22.9847
0.14,0,70.7056,70.7056,70.9637,70.9637,0,0,0,0,0,0,0,0,0,22.9844
0.142,0,70.7056,70.7056,70.9637,70.9637,0,0,0,0,0,0,0,0,0,22.9842
0.144,0,70.7056,70.7056,70.9637,70.9637,0,0,0,0,0,0,0,0,0,22.984
0.146,0,70.7056,70.7056,70.9637,70.9637,0,0,0,0,0,0,0,0,0,22.9837
0.148,0,70.7056,70.7056,70.9637,70.9637,0,0,0,0,0,0,0,0,0,22.9835
0.15,0,70.7022,70.7022,70.9609,70.9609,0,0,0,0,0,0,0,0,0,22.9833
0.152,0,70.7022,70.7022,70.9609,70.9609,0,0,0,0,0,0,0,0,0,22.9831
0.154,0,70.7022,70.7022,70.9609,70.9609,0,0,0,0,0,0,0,0,0,22.9828
0.156,0,70.7022,70.7022,70.9609,70.9609,0,0,0,0,0,0,0,0,0,22.9826
0.158,0,70.7022,70.7022,70.9609,70.9609,0,0,0,0,0,0,0,0,0,22.9824
0.16,0,70.6989,70.6989,70.9581,70.9581,0,0,0,0,0,0,0,0,0,22.9822
0.162,0,70.6989,70.6989,70.9581,70.9581,0,0,0,0,0,0,0,0,0,22.9819
0.164,0,70.6989,70.6989,70.9581,70.9581,0,0,0,0,0,0,0,0,0,22.9817
0.166,0,70.6989,70.6989,70.9581,70.9581,0,0,0,0,0,0,0,0,0,22.9815
0.168,0,70.6989,70.6989,70.9581,70.9581,0,0,0,0,0,0,0,0,0,22.9813
0.17,0,70.6953,70.6953,70.9539,70.9539,0,0,0,0,0,0,0,0,0,22.981
0.172,0,70.6953,70.6953,70.9539,70.9539,0,0,0,0,0,0,0,0,0,22.9808
0.174,0,70.6953,70.6953,70.9539,70.9539,0,0,0,0,0,0,0,0,0,22.9806
0.176,0,70.6953,70.6953,70.9539,70.9539,0,0,0,0,0,0,0,0,0,22.9803
0.178,0,70.6953,70.6953,70.9539,70.9539,0,0,0,0,0,0,0,0,0,22.9801
0.18,0,70.6918,70.6918,70.9503,70.9503,0,0,0,0,0,0,0,0,0,22.9799
0.182,0,70.6918,70.6918,70.9503,70.9503,0,0,0,0,0,0,0,0,0,22.9797
0.184,0,70.6918,70.6918,70.9503,70.9503,0,0,0,0,0,0,0,0,0,22.9794
0.186,0,70.6918,70.6918,70.9503,70.9503,0,0,0,0,0,0,0,0,0,22.9792
