time_series,imu_COG_acc_x,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,stwa,veh_u
0,0,64.6353,64.6353,64.8749,64.8749,0,0,0,0,0,0,0,0,0,21
0.002,0,64.6353,64.6353,64.8749,64.8749,0,0,0,0,0,0,0,0,0,21
0.004,0,64.6353,64.6353,64.8749,64.8749,0,0,0,0,0,0,0,0,0,21
0.006,0,64.6353,64.6353,64.8749,64.8749,0,0,0,0,0,0,0,0,0,20.9999
0.008,0,64.6353,64.6353,64.8749,64.8749,0,0,0,0,0,0,0,0,0,20.9997
0.01,0,64.5547,64.5547,64.7629,64.7629,0,0,0,0,0,0,0,0,0,20.9995
0.012,0,64.5547,64.5547,64.7629,64.7629,0,0,0,0,0,0,0,0,0,20.9993
0.014,0,64.5547,64.5547,64.7629,64.7629,0,0,0,0,0,0,0,0,0,20.999
0.016,0,64.5547,64.5547,64.7629,64.7629,0,0,0,0,0,0,0,0,0,20.9986
0.018,0,64.5547,64.5547,64.7629,64.7629,0,0,0,0,0,0,0,0,0,20.9983
0.02,0,64.6004,64.6004,64.8469,64.8469,0,0,0,0,0,0,0,0,0,20.9979
0.022,0,64.6004,64.6004,64.8469,64.8469,0,0,0,0,0,0,0,0,0,20.9976
0.024,0,64.6004,64.6004,64.8469,64.8469,0,0,0,0,0,0,0,0,0,20.9973
0.026,0,64.6004,64.6004,64.8469,64.8469,0,0,0,0,0,0,0,0,0,20.9971
0.028,0,64.6004,64.6004,64.8469,64.8469,0,0,0,0,0,0,0,0,0,20.9969
0.03,0,64.6085,64.6085,64.8605,64.8605,0,0,0,0,0,0,0,0,0,20.9967
0.032,0,64.6085,64.6085,64.8605,64.8605,0,0,0,0,0,0,0,0,0,20.9965
0.034,0,64.6085,64.6085,64.8605,64.8605,0,0,0,0,0,0,0,0,0,20.9964
0.036,0,64.6085,64.6085,64.8605,64.8605,0,0,0,0,0,0,0,0,0,20.9962
0.038,0,64.6085,64.6085,64.8605,64.8605,0,0,0,0,0,0,0,0,0,20.9961
0.04,0,64.5789,64.5789,64.8009,64.8009,0,0,0,0,0,0,0,0,0,20.9959
0.042,0,64.5789,64.5789,64.8009,64.8009,0,0,0,0,0,0,0,0,0,20.9957
0.044,0,64.5789,64.5789,64.8009,64.8009,0,0,0,0,0,0,0,0,0,20.9954
0.046,0,64.5789,64.5789,64.8009,64.8009,0,0,0,0,0,0,0,0,0,20.9952
0.048,0,64.5789,64.5789,64.8009,64.8009,0,0,0,0,0,0,0,0,0,20.9949
0.05,0,64.5818,64.5818,64.8151,64.8151,0,0,0,0,0,0,0,0,0,20.9947
0.052,0,64.5818,64.5818,64.8151,64.8151,0,0,0,0,0,0,0,0,0,20.9944
0.054,0,64.5818,64.5818,64.8151,64.8151,0,0,0,0,0,0,0,0,0,20.9941
0.056,0,64.5818,64.5818,64.8151,64.8151,0,0,0,0,0,0,0,0,0,20.9939
0.058,0,64.5818,64.5818,64.8151,64.8151,0,0,0,0,0,0,0,0,0,20.9937
0.06,0,64.587,64.587,64.834,64.834,0,0,0,0,0,0,0,0,0,20.9934
0.062,0,64.587,64.587,64.834,64.834,0,0,0,0,0,0,0,0,0,20.9932
0.064,0,64.587,64.587,64.834,64.834,0,0,0,0,0,0,0,0,0,20.993
0.066,0,64.587,64.587,64.834,64.834,0,0,0,0,0,0,0,0,0,20.9928
0.068,0,64.587,64.587,64.834,64.834,0,0,0,0,0,0,0,0,0,20.9926
0.07,0,64.5769,64.5769,64.8101,64.8101,0,0,0,0,0,0,0,0,0,20.9924
0.072,0,64.5769,64.5769,64.8101,64.8101,0,0,0,0,0,0,0,0,0,20.9922
0.074,0,64.5769,64.5769,64.8101,64.8101,0,0,0,0,0,0,0,0,0,20.992
0.076,0,64.5769,64.5769,64.8101,64.8101,0,0,0,0,0,0,0,0,0,20.9918
0.078,0,64.5769,64.5769,64.8101,64.8101,0,0,0,0,0,0,0,0,0,20.9915
0.08,0,64.5725,64.5725,64.8041,64.8041,0,0,0,0,0,0,0,0,0,20.9913
0.082,0,64.5725,64.5725,64.8041,64.8041,0,0,0,0,0,0,0,0,0,20.9911
0.084,0,64.5725,64.5725,64.8041,64.8041,0,0,0,0,0,0,0,0,0,20.9908
0.086,0,64.5725,64.5725,64.8041,64.8041,0,0,0,0,0,0,0,0,0,20.9906
0.088,0,64.5725,64.5725,64.8041,64.8041,0,0,0,0,0,0,0,0,0,20.9904
0.09,0,64.5725,64.5725,64.8131,64.8131,0,0,0,0,0,0,0,0,0,20.9901
0.092,0,64.5725,64.5725,64.8131,64.8131,0,0,0,0,0,0,0,0,0,20.9899
0.094,0,64.5725,64.5725,64.8131,64.8131,0,0,0,0,0,0,0,0,0,20.9897
0.096,0,64.5725,64.5725,64.8131,64.8131,0,0,0,0,0,0,0,0,0,20.9895
0.098,0,64.5725,64.5725,64.8131,64.8131,0,0,0,0,0,0,0,0,0,20.9892
0.1,0,64.5679,64.5679,64.8051,64.8051,0,0,0,0,0,0,0,0,0,20.989
0.102,0,64.5679,64.5679,64.8051,64.8051,0,0,0,0,0,0,0,0,0,20.9888
0.104,0,64.5679,64.5679,64.8051,64.8051,0,0,0,0,0,0,0,0,0,20.9886
0.106,0,64.5679,64.5679,64.8051,64.8051,0,0,0,0,0,0,0,0,0,20.9884
0.108,0,64.5679,64.5679,64.8051,64.8051,0,0,0,0,0,0,0,0,0,20.9881
0.11,0,64.5634,64.5634,64.7969,64.7969,0,0,0,0,0,0,0,0,0,20.9879
0.112,0,64.5634,64.5634,64.7969,64.7969,0,0,0,0,0,0,0,0,0,20.9877
0.114,0,64.5634,64.5634,64.7969,64.7969,0,0,0,0,0,0,0,0,0,20.9875
0.116,0,64.5634,64.5634,64.7969,64.7969,0,0,0,0,0,0,0,0,0,20.9872
0.118,0,64.5634,64.5634,64.7969,64.7969,0,0,0,0,0,0,0,0,0,20.987
