time,veh_u,veh_v,model_GRU_lon_0.pt,model_GRU_lon_1.pt,model_GRU_lon_10.pt,model_GRU_lon_11.pt,model_GRU_lon_12.pt,model_GRU_lon_13.pt,model_GRU_lon_14.pt,model_GRU_lon_15.pt,model_GRU_lon_16.pt,model_GRU_lon_17.pt,model_GRU_lon_18.pt,model_GRU_lon_19.pt,model_GRU_lon_2.pt,model_GRU_lon_20.pt,model_GRU_lon_21.pt,model_GRU_lon_22.pt,model_GRU_lon_23.pt,model_GRU_lon_24.pt,model_GRU_lon_25.pt,model_GRU_lon_26.pt,model_GRU_lon_27.pt,model_GRU_lon_28.pt,model_GRU_lon_29.pt,model_GRU_lon_3.pt,model_GRU_lon_30.pt,model_GRU_lon_31.pt,model_GRU_lon_4.pt,model_GRU_lon_5.pt,model_GRU_lon_6.pt,model_GRU_lon_7.pt,model_GRU_lon_8.pt,model_GRU_lon_9.pt
0.18,0.0,0.0,-5.593661785125732,-5.112353324890137,-5.796426296234131,-5.584857940673828,-6.347540855407715,-5.287627220153809,-5.103325843811035,-5.795304298400879,-5.738309860229492,-5.747450351715088,-5.3763933181762695,-5.229616165161133,-5.196950435638428,-6.141959190368652,-6.057147026062012,-5.6335883140563965,-5.49869441986084,-6.4487738609313965,-6.3171916007995605,-5.9532928466796875,-5.241249084472656,-6.47868013381958,-6.14237117767334,-5.04661750793457,-6.13743782043457,-5.507584571838379,-5.870798587799072,-5.617794990539551,-5.550327301025391,-5.338794708251953,-6.143612861633301,-5.745232105255127
0.19,0.0,0.0,-5.593661785125732,-5.112353324890137,-5.796426296234131,-5.584857940673828,-6.347540855407715,-5.287627220153809,-5.103325843811035,-5.795304298400879,-5.738309860229492,-5.747450351715088,-5.3763933181762695,-5.229616165161133,-5.196950435638428,-6.141959190368652,-6.057147026062012,-5.6335883140563965,-5.49869441986084,-6.4487738609313965,-6.3171916007995605,-5.9532928466796875,-5.241249084472656,-6.47868013381958,-6.14237117767334,-5.04661750793457,-6.13743782043457,-5.507584571838379,-5.870798587799072,-5.617794990539551,-5.550327301025391,-5.338794708251953,-6.143612861633301,-5.745232105255127
0.2,0.0,0.0,-5.593661785125732,-5.112353324890137,-5.796426296234131,-5.584857940673828,-6.347540855407715,-5.287627220153809,-5.103325843811035,-5.795304298400879,-5.738309860229492,-5.747450351715088,-5.3763933181762695,-5.229616165161133,-5.196950435638428,-6.141959190368652,-6.057147026062012,-5.6335883140563965,-5.49869441986084,-6.4487738609313965,-6.3171916007995605,-5.9532928466796875,-5.241249084472656,-6.47868013381958,-6.14237117767334,-5.04661750793457,-6.13743782043457,-5.507584571838379,-5.870798587799072,-5.617794990539551,-5.550327301025391,-5.338794708251953,-6.143612861633301,-5.745232105255127
0.21,0.0,0.0,-5.593661785125732,-5.112353324890137,-5.796426296234131,-5.584857940673828,-6.347540855407715,-5.287627220153809,-5.103325843811035,-5.795304298400879,-5.738309860229492,-5.747450351715088,-5.3763933181762695,-5.229616165161133,-5.196950435638428,-6.141959190368652,-6.057147026062012,-5.6335883140563965,-5.49869441986084,-6.4487738609313965,-6.3171916007995605,-5.9532928466796875,-5.241249084472656,-6.47868013381958,-6.14237117767334,-5.04661750793457,-6.13743782043457,-5.507584571838379,-5.870798587799072,-5.617794990539551,-5.550327301025391,-5.338794708251953,-6.143612861633301,-5.745232105255127
0.22,0.0,0.0,-5.593661785125732,-5.112353324890137,-5.796426296234131,-5.584857940673828,-6.347540855407715,-5.287627220153809,-5.103325843811035,-5.795304298400879,-5.738309860229492,-5.747450351715088,-5.3763933181762695,-5.229616165161133,-5.196950435638428,-6.141959190368652,-6.057147026062012,-5.6335883140563965,-5.49869441986084,-6.4487738609313965,-6.3171916007995605,-5.9532928466796875,-5.241249084472656,-6.47868013381958,-6.14237117767334,-5.04661750793457,-6.13743782043457,-5.507584571838379,-5.870798587799072,-5.617794990539551,-5.550327301025391,-5.338794708251953,-6.143612861633301,-5.745232105255127
0.23,0.0,0.0,-5.593661785125732,-5.112353324890137,-5.796426296234131,-5.584857940673828,-6.347540855407715,-5.287627220153809,-5.103325843811035,-5.795304298400879,-5.738309860229492,-5.747450351715088,-5.3763933181762695,-5.229616165161133,-5.196950435638428,-6.141959190368652,-6.057147026062012,-5.6335883140563965,-5.49869441986084,-6.4487738609313965,-6.3171916007995605,-5.9532928466796875,-5.241249084472656,-6.47868013381958,-6.14237117767334,-5.04661750793457,-6.13743782043457,-5.507584571838379,-5.870798587799072,-5.617794990539551,-5.550327301025391,-5.338794708251953,-6.143612861633301,-5.745232105255127
0.24,0.0,0.0,-5.593661785125732,-5.112353324890137,-5.796426296234131,-5.584857940673828,-6.347540855407715,-5.287627220153809,-5.103325843811035,-5.795304298400879,-5.738309860229492,-5.747450351715088,-5.3763933181762695,-5.229616165161133,-5.196950435638428,-6.141959190368652,-6.057147026062012,-5.6335883140563965,-5.49869441986084,-6.4487738609313965,-6.3171916007995605,-5.9532928466796875,-5.241249084472656,-6.47868013381958,-6.14237117767334,-5.04661750793457,-6.13743782043457,-5.507584571838379,-5.870798587799072,-5.617794990539551,-5.550327301025391,-5.338794708251953,-6.143612861633301,-5.745232105255127
0.25,0.0,0.0,-5.593661785125732,-5.112353324890137,-5.796426296234131,-5.584857940673828,-6.347540855407715,-5.287627220153809,-5.103325843811035,-5.795304298400879,-5.738309860229492,-5.747450351715088,-5.3763933181762695,-5.229616165161133,-5.196950435638428,-6.141959190368652,-6.057147026062012,-5.6335883140563965,-5.49869441986084,-6.4487738609313965,-6.3171916007995605,-5.9532928466796875,-5.241249084472656,-6.47868013381958,-6.14237117767334,-5.04661750793457,-6.13743782043457,-5.507584571838379,-5.870798587799072,-5.617794990539551,-5.550327301025391,-5.338794708251953,-6.143612861633301,-5.745232105255127
0.26,0.0,0.0,-5.593661785125732,-5.112353324890137,-5.796426296234131,-5.584857940673828,-6.347540855407715,-5.287627220153809,-5.103325843811035,-5.795304298400879,-5.738309860229492,-5.747450351715088,-5.3763933181762695,-5.229616165161133,-5.196950435638428,-6.141959190368652,-6.057147026062012,-5.6335883140563965,-5.49869441986084,-6.4487738609313965,-6.3171916007995605,-5.9532928466796875,-5.241249084472656,-6.47868013381958,-6.14237117767334,-5.04661750793457,-6.13743782043457,-5.507584571838379,-5.870798587799072,-5.617794990539551,-5.550327301025391,-5.338794708251953,-6.143612861633301,-5.745232105255127
0.27,0.0,0.0,-5.593661785125732,-5.112353324890137,-5.796426296234131,-5.584857940673828,-6.347540855407715,-5.287627220153809,-5.103325843811035,-5.795304298400879,-5.738309860229492,-5.747450351715088,-5.3763933181762695,-5.229616165161133,-5.196950435638428,-6.141959190368652,-6.057147026062012,-5.6335883140563965,-5.49869441986084,-6.4487738609313965,-6.3171916007995605,-5.9532928466796875,-5.241249084472656,-6.47868013381958,-6.14237117767334,-5.04661750793457,-6.13743782043457,-5.507584571838379,-5.870798587799072,-5.617794990539551,-5.550327301025391,-5.338794708251953,-6.143612861633301,-5.745232105255127
0.28,0.0,0.0,-5.593661785125732,-5.112353324890137,-5.796426296234131,-5.584857940673828,-6.347540855407715,-5.287627220153809,-5.103325843811035,-5.795304298400879,-5.738309860229492,-5.747450351715088,-5.3763933181762695,-5.229616165161133,-5.196950435638428,-6.141959190368652,-6.057147026062012,-5.6335883140563965,-5.49869441986084,-6.4487738609313965,-6.3171916007995605,-5.9532928466796875,-5.241249084472656,-6.47868013381958,-6.14237117767334,-5.04661750793457,-6.13743782043457,-5.507584571838379,-5.870798587799072,-5.617794990539551,-5.550327301025391,-5.338794708251953,-6.143612861633301,-5.745232105255127
0.29,0.0,0.0,-5.593661785125732,-5.112353324890137,-5.796426296234131,-5.584857940673828,-6.347540855407715,-5.287627220153809,-5.103325843811035,-5.795304298400879,-5.738309860229492,-5.747450351715088,-5.3763933181762695,-5.229616165161133,-5.196950435638428,-6.141959190368652,-6.057147026062012,-5.6335883140563965,-5.49869441986084,-6.4487738609313965,-6.3171916007995605,-5.9532928466796875,-5.241249084472656,-6.47868013381958,-6.14237117767334,-5.04661750793457,-6.13743782043457,-5.507584571838379,-5.870798587799072,-5.617794990539551,-5.550327301025391,-5.338794708251953,-6.143612861633301,-5.745232105255127
0.3,0.0,0.00103,-5.593661785125732,-5.112353324890137,-5.796426296234131,-5.584857940673828,-6.347540855407715,-5.287627220153809,-5.103325843811035,-5.795304298400879,-5.738309860229492,-5.747450351715088,-5.3763933181762695,-5.229616165161133,-5.196950435638428,-6.141959190368652,-6.057147026062012,-5.6335883140563965,-5.49869441986084,-6.4487738609313965,-6.3171916007995605,-5.9532928466796875,-5.241249084472656,-6.47868013381958,-6.14237117767334,-5.04661750793457,-6.13743782043457,-5.507584571838379,-5.870798587799072,-5.617794990539551,-5.550327301025391,-5.338794708251953,-6.143612861633301,-5.745232105255127
0.31,0.0,0.00117,-5.593661785125732,-5.112353324890137,-5.796426296234131,-5.584857940673828,-6.347540855407715,-5.287627220153809,-5.103325843811035,-5.795304298400879,-5.738309860229492,-5.747450351715088,-5.3763933181762695,-5.229616165161133,-5.196950435638428,-6.141959190368652,-6.057147026062012,-5.6335883140563965,-5.49869441986084,-6.4487738609313965,-6.3171916007995605,-5.9532928466796875,-5.241249084472656,-6.47868013381958,-6.14237117767334,-5.04661750793457,-6.13743782043457,-5.507584571838379,-5.870798587799072,-5.617794990539551,-5.550327301025391,-5.338794708251953,-6.143612861633301,-5.745232105255127
0.32,0.0,0.0013,-5.593661785125732,-5.112353324890137,-5.796426296234131,-5.584857940673828,-6.347540855407715,-5.287627220153809,-5.103325843811035,-5.795304298400879,-5.738309860229492,-5.747450351715088,-5.3763933181762695,-5.229616165161133,-5.196950435638428,-6.141959190368652,-6.057147026062012,-5.6335883140563965,-5.49869441986084,-6.4487738609313965,-6.3171916007995605,-5.9532928466796875,-5.241249084472656,-6.47868013381958,-6.14237117767334,-5.04661750793457,-6.13743782043457,-5.507584571838379,-5.870798587799072,-5.617794990539551,-5.550327301025391,-5.338794708251953,-6.143612861633301,-5.745232105255127
0.33,0.0,0.00144,-5.593661785125732,-5.112353324890137,-5.796426296234131,-5.584857940673828,-6.347540855407715,-5.287627220153809,-5.103325843811035,-5.795304298400879,-5.738309860229492,-5.747450351715088,-5.3763933181762695,-5.229616165161133,-5.196950435638428,-6.141959190368652,-6.057147026062012,-5.6335883140563965,-5.49869441986084,-6.4487738609313965,-6.3171916007995605,-5.9532928466796875,-5.241249084472656,-6.47868013381958,-6.14237117767334,-5.04661750793457,-6.13743782043457,-5.507584571838379,-5.870798587799072,-5.617794990539551,-5.550327301025391,-5.338794708251953,-6.143612861633301,-5.745232105255127
0.34,0.0,0.00158,-5.593661785125732,-5.112353324890137,-5.796426296234131,-5.584857940673828,-6.347540855407715,-5.287627220153809,-5.103325843811035,-5.795304298400879,-5.738309860229492,-5.747450351715088,-5.3763933181762695,-5.229616165161133,-5.196950435638428,-6.141959190368652,-6.057147026062012,-5.6335883140563965,-5.49869441986084,-6.4487738609313965,-6.3171916007995605,-5.9532928466796875,-5.241249084472656,-6.47868013381958,-6.14237117767334,-5.04661750793457,-6.13743782043457,-5.507584571838379,-5.870798587799072,-5.617794990539551,-5.550327301025391,-5.338794708251953,-6.143612861633301,-5.745232105255127
0.35,0.0,0.00169,-5.593661785125732,-5.112353324890137,-5.796426296234131,-5.584857940673828,-6.347540855407715,-5.287627220153809,-5.103325843811035,-5.795304298400879,-5.738309860229492,-5.747450351715088,-5.3763933181762695,-5.229616165161133,-5.196950435638428,-6.141959190368652,-6.057147026062012,-5.6335883140563965,-5.49869441986084,-6.4487738609313965,-6.3171916007995605,-5.9532928466796875,-5.241249084472656,-6.47868013381958,-6.14237117767334,-5.04661750793457,-6.13743782043457,-5.507584571838379,-5.870798587799072,-5.617794990539551,-5.550327301025391,-5.338794708251953,-6.143612861633301,-5.745232105255127
0.36,0.0,0.00184,-5.593661785125732,-5.112353324890137,-5.796426296234131,-5.584857940673828,-6.347540855407715,-5.287627220153809,-5.103325843811035,-5.795304298400879,-5.738309860229492,-5.747450351715088,-5.3763933181762695,-5.229616165161133,-5.196950435638428,-6.141959190368652,-6.057147026062012,-5.6335883140563965,-5.49869441986084,-6.4487738609313965,-6.3171916007995605,-5.9532928466796875,-5.241249084472656,-6.47868013381958,-6.14237117767334,-5.04661750793457,-6.13743782043457,-5.507584571838379,-5.870798587799072,-5.617794990539551,-5.550327301025391,-5.338794708251953,-6.143612861633301,-5.745232105255127
0.37,0.0,0.00196,-5.593661785125732,-5.112353324890137,-5.796426296234131,-5.584857940673828,-6.347540855407715,-5.287627220153809,-5.103325843811035,-5.795304298400879,-5.738309860229492,-5.747450351715088,-5.3763933181762695,-5.229616165161133,-5.196950435638428,-6.141959190368652,-6.057147026062012,-5.6335883140563965,-5.49869441986084,-6.4487738609313965,-6.3171916007995605,-5.9532928466796875,-5.241249084472656,-6.47868013381958,-6.14237117767334,-5.04661750793457,-6.13743782043457,-5.507584571838379,-5.870798587799072,-5.617794990539551,-5.550327301025391,-5.338794708251953,-6.143612861633301,-5.745232105255127
0.38,0.0,0.00207,-5.593661785125732,-5.112353324890137,-5.796426296234131,-5.584857940673828,-6.347540855407715,-5.287627220153809,-5.103325843811035,-5.795304298400879,-5.738309860229492,-5.747450351715088,-5.3763933181762695,-5.229616165161133,-5.196950435638428,-6.141959190368652,-6.057147026062012,-5.6335883140563965,-5.49869441986084,-6.4487738609313965,-6.3171916007995605,-5.9532928466796875,-5.241249084472656,-6.47868013381958,-6.14237117767334,-5.04661750793457,-6.13743782043457,-5.507584571838379,-5.870798587799072,-5.617794990539551,-5.550327301025391,-5.338794708251953,-6.143612861633301,-5.745232105255127
0.39,0.0,0.00217,-5.593661785125732,-5.112353324890137,-5.796426296234131,-5.584857940673828,-6.347540855407715,-5.287627220153809,-5.103325843811035,-5.795304298400879,-5.738309860229492,-5.747450351715088,-5.3763933181762695,-5.229616165161133,-5.196950435638428,-6.141959190368652,-6.057147026062012,-5.6335883140563965,-5.49869441986084,-6.4487738609313965,-6.3171916007995605,-5.9532928466796875,-5.241249084472656,-6.47868013381958,-6.14237117767334,-5.04661750793457,-6.13743782043457,-5.507584571838379,-5.870798587799072,-5.617794990539551,-5.550327301025391,-5.338794708251953,-6.143612861633301,-5.745232105255127
0.4,0.0,0.00224,-5.593661785125732,-5.112353324890137,-5.796426296234131,-5.584857940673828,-6.347540855407715,-5.287627220153809,-5.103325843811035,-5.795304298400879,-5.738309860229492,-5.747450351715088,-5.3763933181762695,-5.229616165161133,-5.196950435638428,-6.141959190368652,-6.057147026062012,-5.6335883140563965,-5.49869441986084,-6.4487738609313965,-6.3171916007995605,-5.9532928466796875,-5.241249084472656,-6.47868013381958,-6.14237117767334,-5.04661750793457,-6.13743782043457,-5.507584571838379,-5.870798587799072,-5.617794990539551,-5.550327301025391,-5.338794708251953,-6.143612861633301,-5.745232105255127
0.41,0.0,0.00229,-5.593661785125732,-5.112353324890137,-5.796426296234131,-5.584857940673828,-6.347540855407715,-5.287627220153809,-5.103325843811035,-5.795304298400879,-5.738309860229492,-5.747450351715088,-5.3763933181762695,-5.229616165161133,-5.196950435638428,-6.141959190368652,-6.057147026062012,-5.6335883140563965,-5.49869441986084,-6.4487738609313965,-6.3171916007995605,-5.9532928466796875,-5.241249084472656,-6.47868013381958,-6.14237117767334,-5.04661750793457,-6.13743782043457,-5.507584571838379,-5.870798587799072,-5.617794990539551,-5.550327301025391,-5.338794708251953,-6.143612861633301,-5.745232105255127
