time,veh_u,veh_v,model_RNN_lon_153.pt,model_RNN_lon_154.pt,model_RNN_lon_155.pt,model_RNN_lon_156.pt,model_RNN_lon_157.pt,model_RNN_lon_158.pt,model_RNN_lon_159.pt,model_RNN_lon_160.pt,model_RNN_lon_161.pt,model_RNN_lon_162.pt,model_RNN_lon_163.pt,model_RNN_lon_164.pt,model_RNN_lon_165.pt,model_RNN_lon_166.pt,model_RNN_lon_167.pt,model_RNN_lon_168.pt,model_RNN_lon_169.pt,model_RNN_lon_170.pt,model_RNN_lon_171.pt,model_RNN_lon_172.pt,model_RNN_lon_173.pt,model_RNN_lon_174.pt,model_RNN_lon_175.pt,model_RNN_lon_176.pt,model_RNN_lon_177.pt,model_RNN_lon_178.pt,model_RNN_lon_179.pt,model_RNN_lon_180.pt,model_RNN_lon_181.pt,model_RNN_lon_182.pt,model_RNN_lon_183.pt,model_RNN_lon_184.pt
0.1,0.0,0.00303,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.11,0.0,0.00192,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.12,0.0,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.13,0.0,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.14,0.0,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.15,0.0,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.16,0.0,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.17,0.0,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.18,0.0,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.19,0.0,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.2,0.0,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.21,0.0,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.22,0.0,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.23,0.0,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.24,0.0,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.25,0.0,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.26,0.0,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.27,0.0,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.28,0.0,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.29,0.0,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.3,0.0,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.31,0.0,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.32,0.01094,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.33,0.01192,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.34,0.01278,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.35,0.01336,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.36,0.01405,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.37,0.01444,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.38,0.01468,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.39,0.01474,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.4,0.01463,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.41,0.01441,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
0.42,0.01389,0.0,0.005659639835357666,-0.14387807250022888,0.020638033747673035,0.412836492061615,0.018781155347824097,0.003646373748779297,0.036098673939704895,0.6423821449279785,-0.032873377203941345,-0.13895584642887115,0.06334741413593292,0.594460666179657,0.001955591142177582,1.345400094985962,0.05217524617910385,0.5718811750411987,0.08639848232269287,0.03492683172225952,0.01681247353553772,0.41809043288230896,0.02705484628677368,0.0639677345752716,0.050239935517311096,0.543054461479187,0.0336310938000679,0.1060817539691925,0.08966515958309174,0.5970919132232666,0.0136122927069664,0.03387397900223732,0.04691063612699509,0.5466650724411011
