time_series,imu_COG_acc_x,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,stwa,veh_u
0,0,83.1025,83.1025,83.4106,83.4106,0,0,0,0,0,0,0,0,0,27
0.002,0,83.1025,83.1025,83.4106,83.4106,0,0,0,0,0,0,0,0,0,27
0.004,0,83.1025,83.1025,83.4106,83.4106,0,0,0,0,0,0,0,0,0,27
0.006,0,83.1025,83.1025,83.4106,83.4106,0,0,0,0,0,0,0,0,0,26.9999
0.008,0,83.1025,83.1025,83.4106,83.4106,0,0,0,0,0,0,0,0,0,26.9998
0.01,0,83.0157,83.0157,83.2911,83.2911,0,0,0,0,0,0,0,0,0,26.9996
0.012,0,83.0157,83.0157,83.2911,83.2911,0,0,0,0,0,0,0,0,0,26.9993
0.014,0,83.0157,83.0157,83.2911,83.2911,0,0,0,0,0,0,0,0,0,26.999
0.016,0,83.0157,83.0157,83.2911,83.2911,0,0,0,0,0,0,0,0,0,26.9987
0.018,0,83.0157,83.0157,83.2911,83.2911,0,0,0,0,0,0,0,0,0,26.9983
0.02,0,83.0508,83.0508,83.363,83.363,0,0,0,0,0,0,0,0,0,26.998
0.022,0,83.0508,83.0508,83.363,83.363,0,0,0,0,0,0,0,0,0,26.9977
0.024,0,83.0508,83.0508,83.363,83.363,0,0,0,0,0,0,0,0,0,26.9974
0.026,0,83.0508,83.0508,83.363,83.363,0,0,0,0,0,0,0,0,0,26.9971
0.028,0,83.0508,83.0508,83.363,83.363,0,0,0,0,0,0,0,0,0,26.9969
0.03,0,83.0621,83.0621,83.3804,83.3804,0,0,0,0,0,0,0,0,0,26.9967
0.032,0,83.0621,83.0621,83.3804,83.3804,0,0,0,0,0,0,0,0,0,26.9965
0.034,0,83.0621,83.0621,83.3804,83.3804,0,0,0,0,0,0,0,0,0,26.9963
0.036,0,83.0621,83.0621,83.3804,83.3804,0,0,0,0,0,0,0,0,0,26.9962
0.038,0,83.0621,83.0621,83.3804,83.3804,0,0,0,0,0,0,0,0,0,26.996
0.04,0,83.0401,83.0401,83.3331,83.3331,0,0,0,0,0,0,0,0,0,26.9958
0.042,0,83.0401,83.0401,83.3331,83.3331,0,0,0,0,0,0,0,0,0,26.9956
0.044,0,83.0401,83.0401,83.3331,83.3331,0,0,0,0,0,0,0,0,0,26.9953
0.046,0,83.0401,83.0401,83.3331,83.3331,0,0,0,0,0,0,0,0,0,26.9951
0.048,0,83.0401,83.0401,83.3331,83.3331,0,0,0,0,0,0,0,0,0,26.9948
0.05,0,83.0378,83.0378,83.3385,83.3385,0,0,0,0,0,0,0,0,0,26.9946
0.052,0,83.0378,83.0378,83.3385,83.3385,0,0,0,0,0,0,0,0,0,26.9943
0.054,0,83.0378,83.0378,83.3385,83.3385,0,0,0,0,0,0,0,0,0,26.9941
0.056,0,83.0378,83.0378,83.3385,83.3385,0,0,0,0,0,0,0,0,0,26.9938
0.058,0,83.0378,83.0378,83.3385,83.3385,0,0,0,0,0,0,0,0,0,26.9936
0.06,0,83.0404,83.0404,83.3513,83.3513,0,0,0,0,0,0,0,0,0,26.9933
0.062,0,83.0404,83.0404,83.3513,83.3513,0,0,0,0,0,0,0,0,0,26.9931
0.064,0,83.0404,83.0404,83.3513,83.3513,0,0,0,0,0,0,0,0,0,26.9929
0.066,0,83.0404,83.0404,83.3513,83.3513,0,0,0,0,0,0,0,0,0,26.9927
0.068,0,83.0404,83.0404,83.3513,83.3513,0,0,0,0,0,0,0,0,0,26.9925
0.07,0,83.0341,83.0341,83.3367,83.3367,0,0,0,0,0,0,0,0,0,26.9922
0.072,0,83.0341,83.0341,83.3367,83.3367,0,0,0,0,0,0,0,0,0,26.992
0.074,0,83.0341,83.0341,83.3367,83.3367,0,0,0,0,0,0,0,0,0,26.9918
0.076,0,83.0341,83.0341,83.3367,83.3367,0,0,0,0,0,0,0,0,0,26.9916
0.078,0,83.0341,83.0341,83.3367,83.3367,0,0,0,0,0,0,0,0,0,26.9913
0.08,0,83.0293,83.0293,83.3302,83.3302,0,0,0,0,0,0,0,0,0,26.9911
0.082,0,83.0293,83.0293,83.3302,83.3302,0,0,0,0,0,0,0,0,0,26.9909
0.084,0,83.0293,83.0293,83.3302,83.3302,0,0,0,0,0,0,0,0,0,26.9906
0.086,0,83.0293,83.0293,83.3302,83.3302,0,0,0,0,0,0,0,0,0,26.9904
0.088,0,83.0293,83.0293,83.3302,83.3302,0,0,0,0,0,0,0,0,0,26.9901
0.09,0,83.0272,83.0272,83.333,83.333,0,0,0,0,0,0,0,0,0,26.9899
0.092,0,83.0272,83.0272,83.333,83.333,0,0,0,0,0,0,0,0,0,26.9897
